,Country,Variable,Year,Unit,Value
1391,Bulgaria,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,1663.69
1392,Bulgaria,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,1628.84
1393,Bulgaria,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,1588.46
1394,Bulgaria,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,1552.37
1395,Bulgaria,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,1550.43
1396,Bulgaria,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,1545.06
1397,Bulgaria,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,1503.53
1398,Bulgaria,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,1463.66
1399,Bulgaria,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,1435.7
1400,Bulgaria,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,1420.2
1401,Bulgaria,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,1391.52
1402,Bulgaria,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,1339.14
1403,Bulgaria,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,1288.87
1404,Bulgaria,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,1304.31
1405,Bulgaria,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,1281.85
1406,Bulgaria,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,1272.35
1407,Bulgaria,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,1267.01
1408,Bulgaria,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,1289.51
1409,Bulgaria,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,1296.19
1410,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,170.38
1411,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,170.46
1412,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,170.79
1413,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,171.31
1414,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,171.37
1415,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,171.55
1416,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,171.82
1417,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,172.02
1418,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,172.21
1419,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,172.31
1420,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,172.04
1421,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,173.43
1422,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,174.19
1423,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,175.32
1424,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,176.1
1425,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,177.66
1426,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,180.36
1427,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,184.04
1428,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,190.07
1429,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,191.67
1430,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,188.89
1431,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,183.35
1432,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,178.6
1433,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,174.54
1434,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,171.15
1435,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,169.57
1436,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,168.33
1437,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,168.49
1438,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,176.32
1439,Lao People's Democratic Republic,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,192.01
1440,Hungary,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,1080.22
1441,Hungary,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,1085.52
1442,Hungary,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,1131.48
1443,Hungary,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,1141.63
1444,Hungary,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,1117.05
1445,Hungary,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,1105.27
1446,Hungary,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,1048.6
1447,Hungary,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,1022.23
1448,Hungary,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,1011.65
1449,Hungary,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,991.08
1450,Hungary,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,926.74
1451,Hungary,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,895.31
1452,Hungary,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,895.43
1453,Hungary,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,900.07
1454,Hungary,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,886.07
1455,Hungary,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,901.11
1456,Hungary,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,878.5
1457,Hungary,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,887.25
1458,Hungary,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,863.02
1459,Hungary,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,870.58
1460,Hungary,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,858.21
1461,Hungary,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,843.13
1462,Hungary,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,822.02
1463,Hungary,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,781.48
1464,Hungary,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,764.14
1465,Hungary,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,765.65
1466,Hungary,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,722.4
1467,Hungary,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,723.01
1468,Hungary,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,732.87
1469,Hungary,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,716.65
1470,Rwanda,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,156.66
1471,Rwanda,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,167.4
1472,Rwanda,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,169.07
1473,Rwanda,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,155.76
1474,Rwanda,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,151.75
1475,Rwanda,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,164.4
1476,Rwanda,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,164.63
1477,Rwanda,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,162.92
1478,Rwanda,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,157.15
1479,Rwanda,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,146.66
1480,Rwanda,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,137.26
1481,Rwanda,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,131.9
1482,Rwanda,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,129.63
1483,Rwanda,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,127.57
1484,Rwanda,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,129.0
1485,Rwanda,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,126.75
1486,Rwanda,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,122.8
1487,Rwanda,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,121.34
1488,Rwanda,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,120.37
1489,Rwanda,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,115.06
1490,Rwanda,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,116.99
1491,Rwanda,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,119.42
1492,Rwanda,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,125.33
1493,Rwanda,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,124.84
1494,Rwanda,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,129.69
1495,Rwanda,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,131.83
1496,Rwanda,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,130.2
1497,Rwanda,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,128.35
1498,Rwanda,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,132.26
1499,Rwanda,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,139.12
1500,World,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,384.28
1501,World,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,385.79
1502,World,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,389.17
1503,World,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,396.37
1504,World,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,400.14
1505,World,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,400.7
1506,World,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,401.82
1507,World,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,406.02
1508,World,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,410.35
1509,World,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,417.75
1510,World,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,424.37
1511,World,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,428.91
1512,World,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,435.4
1513,World,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,439.34
1514,World,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,440.2
1515,World,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,445.28
1516,World,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,445.51
1517,World,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,452.15
1518,World,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,464.58
1519,World,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,473.1
1520,World,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,482.89
1521,World,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,491.73
1522,World,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,501.82
1523,World,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,512.98
1524,World,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,519.92
1525,World,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,524.5
1526,World,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,519.37
1527,World,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,514.52
1528,World,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,522.67
1529,World,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,536.97
1530,G7,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,456.69
1531,G7,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,446.93
1532,G7,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,435.22
1533,G7,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,430.72
1534,G7,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,420.61
1535,G7,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,414.44
1536,G7,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,403.26
1537,G7,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,391.08
1538,G7,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,382.87
1539,G7,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,374.52
1540,G7,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,361.17
1541,G7,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,349.1
1542,G7,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,339.69
1543,G7,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,329.56
1544,G7,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,311.96
1545,G7,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,303.83
1546,G7,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,293.44
1547,G7,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,284.2
1548,G7,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,277.3
1549,G7,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,269.11
1550,G7,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,261.44
1551,G7,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,255.96
1552,G7,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,249.55
1553,G7,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,242.19
1554,G7,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,233.41
1555,G7,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,229.67
1556,G7,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,220.4
1557,G7,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,215.0
1558,G7,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,218.66
1559,G7,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,221.73
1560,Colombia,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,210.09
1561,Colombia,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,218.7
1562,Colombia,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,221.53
1563,Colombia,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,222.59
1564,Colombia,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,224.41
1565,Colombia,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,225.43
1566,Colombia,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,233.03
1567,Colombia,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,229.08
1568,Colombia,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,230.81
1569,Colombia,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,239.87
1570,Colombia,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,240.76
1571,Colombia,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,239.1
1572,Colombia,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,254.85
1573,Colombia,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,235.53
1574,Colombia,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,228.78
1575,Colombia,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,218.82
1576,Colombia,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,225.86
1577,Colombia,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,227.71
1578,Colombia,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,237.57
1579,Colombia,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,251.42
1580,Colombia,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,252.28
1581,Colombia,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,243.48
1582,Colombia,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,243.33
1583,Colombia,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,242.19
1584,Colombia,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,240.54
1585,Colombia,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,245.99
1586,Colombia,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,246.62
1587,Colombia,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,247.59
1588,Colombia,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,253.48
1589,Colombia,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,259.56
1590,Tajikistan,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,363.78
1591,Tajikistan,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,373.06
1592,Tajikistan,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,386.87
1593,Tajikistan,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,399.62
1594,Tajikistan,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,434.42
1595,Tajikistan,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,422.55
1596,Tajikistan,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,409.88
1597,Tajikistan,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,404.91
1598,Tajikistan,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,408.06
1599,Tajikistan,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,404.56
1600,Tajikistan,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,396.95
1601,Tajikistan,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,395.01
1602,Tajikistan,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,391.98
1603,Tajikistan,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,391.23
1604,Tajikistan,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,394.12
1605,Tajikistan,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,403.37
1606,Tajikistan,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,410.38
1607,Tajikistan,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,419.34
1608,Tajikistan,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,426.51
1609,Tajikistan,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,432.51
1610,Tajikistan,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,449.66
1611,Tajikistan,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,466.14
1612,Tajikistan,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,480.84
1613,Tajikistan,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,492.72
1614,Tajikistan,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,513.14
1615,Tajikistan,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,527.14
1616,Tajikistan,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,534.62
1617,Tajikistan,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,532.62
1618,Tajikistan,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,515.63
1619,Tajikistan,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,510.44
1620,Armenia,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,609.03
1621,Armenia,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,650.77
1622,Armenia,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,729.03
1623,Armenia,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,775.38
1624,Armenia,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,756.75
1625,Armenia,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,770.52
1626,Armenia,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,789.83
1627,Armenia,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,774.8
1628,Armenia,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,782.21
1629,Armenia,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,806.12
1630,Armenia,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,820.37
1631,Armenia,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,859.95
1632,Armenia,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,899.74
1633,Armenia,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,947.21
1634,Armenia,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,968.88
1635,Armenia,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,1010.79
1636,Armenia,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,1057.04
1637,Armenia,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,1071.21
1638,Armenia,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,1111.84
1639,Armenia,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,1125.82
1640,Armenia,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,1139.82
1641,Armenia,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,1139.52
1642,Armenia,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,1126.33
1643,Armenia,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,1096.95
1644,Armenia,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,1095.78
1645,Armenia,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,1115.2
1646,Armenia,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,1085.66
1647,Armenia,Mortality from exposure to ambient PM2.5,2017,Per 1 000 000 inhabitants,1067.04
1648,Armenia,Mortality from exposure to ambient PM2.5,2018,Per 1 000 000 inhabitants,1055.28
1649,Armenia,Mortality from exposure to ambient PM2.5,2019,Per 1 000 000 inhabitants,1045.64
1650,Australia,Mortality from exposure to ambient PM2.5,1990,Per 1 000 000 inhabitants,139.19
1651,Australia,Mortality from exposure to ambient PM2.5,1991,Per 1 000 000 inhabitants,134.17
1652,Australia,Mortality from exposure to ambient PM2.5,1992,Per 1 000 000 inhabitants,132.42
1653,Australia,Mortality from exposure to ambient PM2.5,1993,Per 1 000 000 inhabitants,128.63
1654,Australia,Mortality from exposure to ambient PM2.5,1994,Per 1 000 000 inhabitants,127.74
1655,Australia,Mortality from exposure to ambient PM2.5,1995,Per 1 000 000 inhabitants,124.18
1656,Australia,Mortality from exposure to ambient PM2.5,1996,Per 1 000 000 inhabitants,122.52
1657,Australia,Mortality from exposure to ambient PM2.5,1997,Per 1 000 000 inhabitants,119.07
1658,Australia,Mortality from exposure to ambient PM2.5,1998,Per 1 000 000 inhabitants,115.06
1659,Australia,Mortality from exposure to ambient PM2.5,1999,Per 1 000 000 inhabitants,111.11
1660,Australia,Mortality from exposure to ambient PM2.5,2000,Per 1 000 000 inhabitants,107.63
1661,Australia,Mortality from exposure to ambient PM2.5,2001,Per 1 000 000 inhabitants,103.51
1662,Australia,Mortality from exposure to ambient PM2.5,2002,Per 1 000 000 inhabitants,99.62
1663,Australia,Mortality from exposure to ambient PM2.5,2003,Per 1 000 000 inhabitants,94.0
1664,Australia,Mortality from exposure to ambient PM2.5,2004,Per 1 000 000 inhabitants,88.24
1665,Australia,Mortality from exposure to ambient PM2.5,2005,Per 1 000 000 inhabitants,83.66
1666,Australia,Mortality from exposure to ambient PM2.5,2006,Per 1 000 000 inhabitants,80.48
1667,Australia,Mortality from exposure to ambient PM2.5,2007,Per 1 000 000 inhabitants,79.07
1668,Australia,Mortality from exposure to ambient PM2.5,2008,Per 1 000 000 inhabitants,77.31
1669,Australia,Mortality from exposure to ambient PM2.5,2009,Per 1 000 000 inhabitants,74.37
1670,Australia,Mortality from exposure to ambient PM2.5,2010,Per 1 000 000 inhabitants,72.27
1671,Australia,Mortality from exposure to ambient PM2.5,2011,Per 1 000 000 inhabitants,71.62
1672,Australia,Mortality from exposure to ambient PM2.5,2012,Per 1 000 000 inhabitants,69.96
1673,Australia,Mortality from exposure to ambient PM2.5,2013,Per 1 000 000 inhabitants,68.95
1674,Australia,Mortality from exposure to ambient PM2.5,2014,Per 1 000 000 inhabitants,69.43
1675,Australia,Mortality from exposure to ambient PM2.5,2015,Per 1 000 000 inhabitants,69.77
1676,Australia,Mortality from exposure to ambient PM2.5,2016,Per 1 000 000 inhabitants,67.04
